category,question,answer
Agile,What is Agile?,"Agile is an iterative project management and software development approach that emphasizes flexibility, customer collaboration, continuous delivery, and responding to change."
Agile,Which Agile frameworks do you use?,"Common Agile frameworks include Scrum, Kanban, SAFe (Scaled Agile), and Lean. Each framework adapts Agile principles for different contexts."
Agile,What is the role of a Project Manager in Agile?,"In Agile, the Project Manager facilitates collaboration, manages stakeholders, ensures governance, tracks delivery metrics like velocity and burndown, removes impediments, and aligns teams with business priorities."
Agile,What is the difference between a Scrum Master and a Project Manager?,"A Scrum Master focuses on coaching the team and ensuring Scrum practices are followed. A Project Manager oversees budget, resources, risks, governance, and cross-team coordination."
Agile,What are the main Agile ceremonies?,"Key Agile ceremonies include Sprint Planning, Daily Stand-ups, Sprint Review, Sprint Retrospective, and Backlog Refinement."
SDLC,What is SDLC?,"The Software Development Life Cycle (SDLC) is a structured process for planning, developing, testing, deploying, and maintaining software applications."
SDLC,What are the phases of SDLC?,"The main phases of SDLC are: Requirement gathering, Design, Development, Testing, Deployment, and Maintenance."
SDLC,What is the Project Manager’s role in SDLC?,"A PM defines scope, manages requirements, aligns resources, oversees testing, ensures on-time delivery, and tracks KPIs like defect density and test coverage."
SDLC,What is the difference between Waterfall and Agile in SDLC?,"Waterfall is a linear, sequential approach where each phase must be completed before the next. Agile is iterative, adaptive, and emphasizes continuous delivery and feedback."
SDLC,How do you handle change in SDLC projects?,"Changes are managed via a Change Control Board (CCB), impact analysis, re-baselining of schedules and budgets, and communication with stakeholders."
Governance,What governance models have you used?,"I’ve used layered governance models such as weekly project stand-ups, monthly steering committees, and quarterly portfolio reviews to ensure operational tracking and executive visibility."
Governance,What KPIs do you track in Agile and SDLC projects?,"Common KPIs include velocity, sprint burndown charts, earned value (EVM), schedule variance, budget variance, and defect resolution time."
Governance,Which tools do you use for project management?,"Tools include JIRA, Confluence, Azure DevOps, MS Project, ServiceNow, Trello, and reporting dashboards in Power BI or Tableau."
Behavioral,Tell me about a time you managed a failing project.,"Using STAR format: Situation — a cloud migration was behind schedule; Task — bring it back on track; Action — re-baselined milestones, negotiated vendor SLAs, reassigned resources; Result — delivered within revised timeline, saving 15% of projected costs."
Behavioral,How do you handle conflicts between stakeholders?,"I facilitate discussions, align on business value, negotiate scope trade-offs, and ensure transparent communication so conflicts are resolved constructively."
Behavioral,Why should we hire you as a Project/Program Manager?,"I bring proven experience in Agile and SDLC project delivery, strong governance and stakeholder management skills, and the ability to align IT initiatives with business strategy while delivering measurable outcomes."